id,title,status,date,purpose,method,country_code,description,organizations,target,link,enforcement_details,revision
5eac6d6e04a448cffe6148f9,Kenya Phone Tracking of people in quarantine,launched,,Quarantine enforcement,Telecom data,KE,"The authorities in Kenya have been tracking mobile phones of people suspected to have Covid-19 as a way of enforcing a 14-day mandatory isolation period, government spokesman Cyrus Oguna told the BBC.",,general_public,https://www.bbc.co.uk/news/world-africa-52214740,,5
5eac6d6e04a448cffe6148fb,Kazahk city uses video surveillance to enforce quarantine,launched,,Quarantine enforcement,"CCTV, Facial recognition",KZ,"For the city of Almaty the ministry of the interior relies on video surveillance technology called Sergek, produced by the local telecommunications firm Korkem Telecom to find people who break quarantine.",,general_public,https://privacyinternational.org/examples/3661/kazakhstan-uses-electronic-surveillance-enforce-quarantine,,1
5eac6d6e04a448cffe6148fc,Aggregated Location Tracking in Italy,launched,,"Mobility tracking, Epidemiology",Telecom data,IT,"In Italy, mobile carriers Telecom Italia, Vodafone and WindTre have offered authorities aggregated data to monitor people’s movements.","Telecom Italia, Vodafone, WindTre",general_public,https://www.reuters.com/article/us-health-coronavirus-europe-telecoms/european-mobile-operators-share-data-for-coronavirus-fight-idUSKBN2152C2,,3
5eac6d6e04a448cffe6148fd,Liechtenstein's biometric wristbands,announced,2020-04-16,Medical diagnostics,Wearables,LI,"Liechtenstein is piloting a programme to fit its citizens with biometric bracelets in a new drive to track the emergence of potential cases of Covid-19 in real time. One in 20 Liechtensteiners have been offered the bracelets, which will send data on vital bodily metrics including skin temperature, breathing rate and heart rate back to a Swiss laboratory for analysis.","Ava, The principality of Liechtenstein",general_public,https://www.ft.com/content/06b7e6f3-a725-4eda-9153-e0af48040e30,Voluntary,5
5eac6d6e04a448cffe6148fe,StopKorona: North Macedonian contact tracing app,launched,2020-04-13,Contact tracing,"App, Bluetooth, Smartphone",MK,"The Western Balkans’ first contact-tracing app was donated to the Macedonian authorities by the company Nextsense, which says the app was downloaded more than 5,000 times on its first day.

Wikipedia: The government launched ""StopKorona!"" on April 13, 2020, becoming the first country in the Western Balkans to launch a COVID-19 tracing app. The Bluetooth-based app traces exposure with potentially infected persons and is designed to help healthcare authorities provide a fast response. The app was developed and donated by Skopje-based Software company Nextsense. To comply with laws on data protection, the app does not use the users' locations nor personal information. The users' mobile phone numbers are the only user-related data, stored on servers managed by the Ministry of Health (source: https://en.wikipedia.org/wiki/COVID-19_apps#List_of_countries_with_official_contact_tracing_apps)","Ministry of Health, Nextsense",general_public,https://balkaninsight.com/2020/04/16/north-macedonia-leads-region-in-covid-19-tracing-app/,Voluntary,6
5eac6d6e04a448cffe6148ff,Kuwait enforcement drones,launched,,Lockdown enforcement,Drones,KW,Kuwait used drones to broadcast messages in multiple languages urging people to return to their homes.,,general_public,https://www.france24.com/en/20200405-jordan-becomes-latest-mideast-country-to-deploy-drones-in-virus-response,,5
5eac6d6e04a448cffe614900,Omani authorities use drone to enforce lockdown,launched,,Lockdown enforcement,Drones,OM,"In Oman, authorities have used drones to reduce gatherings in public places in the capital Muscat.",,general_public,https://www.france24.com/en/20200405-jordan-becomes-latest-mideast-country-to-deploy-drones-in-virus-response,,5
5eac6d6e04a448cffe614901,Norwegian halts Smittestop app,inactive,2020-04-16,Contact tracing,"App, Bluetooth, Smartphone",NO,"On June 12, Norway's data protection watchdog said the country's contact tracing app posed a dispproportionate threat to privacy by continuously uploading its users' location to a central server. On June 15, the Norwegian Institute of Public Health (FHI) said it will stop uploading data and delete user data ""as soon as possible.

","Norwegian Institute of Public Health (FHI), Simula",general_public,https://techcrunch.com/2020/06/15/norway-pulls-its-coronavirus-contacts-tracing-app-after-privacy-watchdogs-warning/,Voluntary,4
5eac6d6e04a448cffe614902,SmartAstana: Kazahkstan quarantine enforcement app,launched,,Quarantine enforcement,"App, Smartphone, Unknown",KZ,"The Kazakhstani ministry of health requires the 8,000 or so Kazakhstani citizens currently under quarantine to use the SmartAstana tracking app",,general_public,https://privacyinternational.org/examples/3661/kazakhstan-uses-electronic-surveillance-enforce-quarantine,,4
5eac6d6e04a448cffe614903,Shaming quarantine breakers in Paraguay,launched,,Quarantine enforcement,Social media shaming,PY,"Police officers in Paraguay posted videos of themselves on social media, threatening people who broke quarantine with a taser, forcing them to do star jumps and making them repeat ‘I won’t leave my house again, officer’ while lying face down on the floor. Videos uploaded to Twitter here: https://twitter.com/npyoficial/status/1242477222369193991",Twitter,general_public,https://www.theguardian.com/australia-news/live/2020/mar/24/coronavirus-live-news-updates-us-trump-uk-lockdown-global-deaths-cases-covid19-latest-update?page=with:block-5e7a54898f0878a2a48a96c1,Humiliation by police officers,2
