title,summary,country,description,geographical_scope,start_date.specificity,start_date.date,start_date.note,end_date.specificity,end_date.date,end_date.note,software_used,involved_companies,enforcement_details,data_storage_details,link,surveillance_types.0.main_type,surveillance_types.0.sub_type,surveillance_types.1.main_type,surveillance_types.1.sub_type,surveillance_types.2.main_type,surveillance_types.2.sub_type,surveillance_types.3.main_type,surveillance_types.3.sub_type,surveillance_types.4.main_type,surveillance_types.4.sub_type,legal_base,legislation.description,legislation.pass_date.specificity,legislation.pass_date.date,legislation.pass_date.note,legislation.end_date.specificity,legislation.end_date.date,legislation.end_date.note,legislation.link,legislation.notes,notes
Liechtenstein's biometric wristbands,,LI,"The principality of Liechtenstein is piloting a programme to fit its citizens with biometric bracelets in a  new drive to track the emergence of potential cases of Covid-19 in real time. One in 20 Liechtensteiners have been offered the bracelets, which will send data on vital bodily metrics including skin temperature, breathing rate and heart rate back to a Swiss laboratory for analysis.",National,month,2020-04-16T00:00:00.000Z,,,,,"Ava, the Swiss medical technology company  currently sells them internationally as an aid for women to accurately monitor their fertility cycles.","[""Ava""]",,,https://www.ft.com/content/06b7e6f3-a725-4eda-9153-e0af48040e30,"Biometric surveillance (monitoring faces, health, body functions, etc)","[""Health Monitoring (for instance temperature monitoring)""]",,,,,,,,,,,,,,,,,,,
Kazahk city uses video surveillance to enforce quarantine,,KZ,"For the city of Almaty the ministry of the interior relies on video surveillance technology called Sergek, produced by the local telecommunications firm Korkem Telecom to find people who break quarantine.",Regional,,,,,,,Sergek,,,,https://privacyinternational.org/examples/3661/kazakhstan-uses-electronic-surveillance-enforce-quarantine,"Location surveillance (mapping, contact tracing etc)","[""Quarantine enforcement""]",,,,,,,,,,,,,,,,,,,
North Macedonian contact tracing app,,MK,"North Macedonia launched its ""Stop Korona"" bluetooth contact tracing app on April 13 that warns users if they have come into contact with someone who has tested positive for coronavirus, based on the distance between their mobile devices.",National,month,2020-04-13T00:00:00.000Z,Went live April 2020,,,,Bluetooth,"[""Nextsense""]",Voluntary,"“This data is recorded on a secure server of the Ministry of Health,” Information Society Minister Damjan Manchevski said at the launch. “And no other user has access to mobile numbers, nor is there any data stored about the owner of the number.”",https://balkaninsight.com/2020/04/16/north-macedonia-leads-region-in-covid-19-tracing-app/,"Location surveillance (mapping, contact tracing etc)","[""Individual contact tracing""]",,,,,,,,,,"Apparently, in line with data protection laws",,,,,,,,,
Kazahkstan quarantine enforcement app,,KZ,"The Kazakhstani ministry of health requires the 8,000 or so Kazakhstani citizens currently under quarantine to use the SmartAstana tracking app",National,,,,,,,Unclear,,,,https://privacyinternational.org/examples/3661/kazakhstan-uses-electronic-surveillance-enforce-quarantine,"Location surveillance (mapping, contact tracing etc)","[""Quarantine enforcement""]",,,,,,,,,,,,,,,,,,,
Poland's Home Quarantine App,,PL,"In Poland, a new app called Home Quarantine requires users to submit selfies to prove that they are complying with quarantine requirements. Geolocation and facial recognition confirm that they are adhering to the rules.",National,,,,,,,Based on an out-of-the-box service offered by a third-party developer.,,"Quarantined citizens are given a choice—either use it, or have the police visit them. If a Home Quarantine user fails to respond within 20 minutes, the app notifies the police, who can issue a fine up to $1,200.",All the data will stay with the government for six years,https://www.politico.eu/article/poland-coronavirus-app-offers-playbook-for-other-governments/,"Location surveillance (mapping, contact tracing etc)","[""Quarantine enforcement""]",,,,,,,,,,,,,,,,,,,
Omani authorities use drone to enforce lockdown,,OM,"In Oman, authorities have used drones to reduce gatherings in public places in the capital Muscat.",Regional,,,,,,,,,,,https://www.france24.com/en/20200405-jordan-becomes-latest-mideast-country-to-deploy-drones-in-virus-response,Drone surveillance,"[""Lockdown enforcement""]",,,,,,,,,,,,,,,,,,,
Norway's Smittestopp contact tracing app,,NO,Smittestopp app users will be sent a text message if they have been in close contact with another Smittestop user who is subsequently diagnosed with COVID-19. The message will advise about how to limit further transmission. will advise about how to limit further transmission. The app is used alongside manual contact tracing.,National,month,2020-04-16T00:00:00.000Z,,,,,The app sends uses data from the phone’s GPS and Bluetooth.,"[""Simula""]",,"Location data is sent to central servers that can be accessed by government health authorities. You can delete your personal information at any time by using the delete functionality in the app, or you can delete the app. You can also choose whether to turn the logging features on or off.",https://helsenorge.no/coronavirus/smittestopp,"Location surveillance (mapping, contact tracing etc)","[""Individual contact tracing""]",,,,,,,,,true,"A new law mandates that the information be used only for the pandemic, and that it be deleted every 30 days.",,,,,,,,,
Shaming quarantine breakers in Paraguay,,PY,"Police officers in Paraguay posted videos of themselves on social media, threatening people who broke quarantine with a taser, forcing them to do star jumps and making them repeat ‘I won’t leave my house again, officer’ while lying face down on the floor. Videos uploaded to Twitter here: https://twitter.com/npyoficial/status/1242477222369193991",Regional,,,,,,,Social media,"[""Twitter""]",Humiliation by police officers,,https://www.theguardian.com/australia-news/live/2020/mar/24/coronavirus-live-news-updates-us-trump-uk-lockdown-global-deaths-cases-covid19-latest-update?page=with:block-5e7a54898f0878a2a48a96c1,"Location surveillance (mapping, contact tracing etc)","[""Quarantine enforcement""]",,,,,,,,,,,,,,,,,,,
Qatari drones for lockdown enforcement,,QA,"Qatar announced it was carrying out a drone-based ""awareness drive"" that targeted foreign workers, after images of what appeared to be foreign nationals praying on the roof of apartment buildings in a Doha suburb the previous weekend were published by local media.",Regional,,,,,,,,,,,https://www.france24.com/en/20200405-jordan-becomes-latest-mideast-country-to-deploy-drones-in-virus-response,Drone surveillance,"[""Lockdown enforcement""]",,,,,,,,,,,,,,,,,,,
Moscow plans to track foreign visitors,,RU,"Moscow City Hall could sign a contract with a vendor that would provide daily updates on tourists’ movements using their SIM card data, newspaper Kommersant cited an unnamed City Hall source as saying.",Regional,,,,,,,Unclear,"[""Yandex""]",,Unclear,https://www.themoscowtimes.com/2020/04/09/moscow-plans-coronavirus-surveillance-for-foreigners-kommersant-a69928,"Location surveillance (mapping, contact tracing etc)","[""Individual contact tracing""]",,,,,,,,,,,,,,,,,,,
Dutch contact tracing app,,NL,The Dutch government will launch a contact tracing app that uses bluetooth to track phones nearby.,National,month,2020-06-01T00:00:00.000Z,Probably June 2020,,,,"Bluetooth Low Energy, decentralized databases, ephemeral bluetooth tokens. App is for Android, Windows Phone and iPhone.","[""Accenture"",""DCTC""]","Not yet. It's use is voluntary, but when not enough people use the phone, it could become mandatory. A new law is required then.",,https://minez.nl/corona-app,"Location surveillance (mapping, contact tracing etc)","[""Individual contact tracing""]",,,,,,,,,true,"AVG, the Dutch implementation of the GDPR",day,2019-05-01T00:00:00.000Z,,,,,https://decorrespondent.nl/gaat-een-app-wel-werken,,
Saudi drones deployed to detect fevers,,SA,"In Saudi Arabia, municipal authorities have deployed drones to measure the body temperature of shoppers in Buraidah, in the north-central Al-Qassim region, the state-run Saudi Press Agency reported in late March. The drones were fitted with artificial intelligence-enabled thermal cameras, SPA said.",Regional,,,,,,,,,,,https://www.france24.com/en/20200405-jordan-becomes-latest-mideast-country-to-deploy-drones-in-virus-response,"Biometric surveillance (monitoring faces, health, body functions, etc)","[""Health Monitoring (for instance temperature monitoring)""]",Drone surveillance,"[""fever detection""]",,,,,,,,,,,,,,,,,
